时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2016-09-29,四	9.21		9.25		9.20		9.23		+0.33%		0.54%		24,665,571	227,720,530	0.083		2248		
2016-09-30,五	9.23		9.29		9.23		9.26		+0.33%		0.65%		24,478,180	226,785,230	0.083		1958		
2016-10-10,一	9.26		9.36		9.26		9.33		+0.76%		1.08%		29,638,856	276,015,700	0.100		2120		
2016-10-11,二	9.32		9.34		9.28		9.31		-0.21%		0.64%		34,307,040	319,143,730	0.116		2112		
2016-10-12,三	9.29		9.31		9.26		9.27		-0.43%		0.54%		28,790,976	267,070,000	0.097		1889		
2016-10-13,四	9.26		9.27		9.14		9.19		-0.86%		1.40%		69,499,004	638,628,020	0.235		2235		
2016-10-14,五	9.18		9.26		9.17		9.24		+0.54%		0.98%		34,985,913	322,788,470	0.118		2292		
2016-10-17,一	9.23		9.29		9.19		9.24		+0.00%		1.08%		31,322,090	289,216,800	0.106		1863		
2016-10-18,二	9.23		9.28		9.23		9.27		+0.32%		0.54%		26,011,675	240,904,610	0.088		1802		
2016-10-19,三	9.27		9.30		9.27		9.28		+0.11%		0.32%		16,627,159	154,289,240	0.056		1893		
2016-10-20,四	9.29		9.31		9.28		9.29		+0.11%		0.32%		18,137,451	168,581,750	0.061		1682		
2016-10-21,五	9.28		9.31		9.26		9.29		+0.00%		0.54%		21,363,836	198,270,260	0.072		1885		
2016-10-24,一	9.28		9.40		9.27		9.37		+0.86%		1.40%		45,969,076	429,808,720	0.156		2116		
2016-10-25,二	9.36		9.39		9.33		9.36		-0.11%		0.64%		23,890,718	223,731,830	0.081		2107		
2016-10-26,三	9.33		9.35		9.26		9.28		-0.85%		0.96%		27,654,909	256,869,840	0.094		2054		
2016-10-27,四	9.26		9.31		9.24		9.27		-0.11%		0.75%		24,219,135	224,412,100	0.082		1726		
2016-10-28,五	9.25		9.33		9.25		9.31		+0.43%		0.86%		41,278,345	382,948,520	0.140		2133		
2016-10-31,一	9.30		9.30		9.14		9.20		-1.18%		1.72%		48,642,878	446,877,890	0.165		2413		
2016-11-01,二	9.20		9.23		9.16		9.21		+0.11%		0.76%		22,980,490	211,552,460	0.078		1769		
2016-11-02,三	9.18		9.21		9.13		9.16		-0.54%		0.87%		47,408,721	433,805,040	0.160		2404		
2016-11-03,四	9.16		9.23		9.13		9.19		+0.33%		1.09%		50,655,655	465,237,730	0.171		2122		
2016-11-04,五	9.18		9.21		9.14		9.16		-0.33%		0.76%		35,280,119	323,537,410	0.119		2157		
2016-11-07,一	9.15		9.17		9.13		9.16		+0.00%		0.44%		28,920,438	264,617,200	0.098		1971		
2016-11-08,二	9.16		9.19		9.14		9.17		+0.11%		0.55%		38,606,834	353,720,850	0.131		1908		
2016-11-09,三	9.18		9.18		9.04		9.11		-0.65%		1.53%		77,945,507	708,899,650	0.264		2136		
2016-11-10,四	9.14		9.17		9.12		9.16		+0.55%		0.55%		66,369,353	607,422,570	0.225		1894		
2016-11-11,五	9.15		9.21		9.12		9.20		+0.44%		0.98%		49,228,494	451,278,550	0.167		1984		
2016-11-14,一	9.18		9.24		9.17		9.22		+0.22%		0.76%		51,239,951	472,058,680	0.173		2221		
2016-11-15,二	9.22		9.23		9.18		9.21		-0.11%		0.54%		36,214,512	333,400,980	0.123		2483		
2016-11-16,三	9.20		9.22		9.16		9.19		-0.22%		0.65%		52,683,484	484,176,510	0.178		1868		
2016-11-17,四	9.18		9.21		9.15		9.20		+0.11%		0.65%		54,477,995	500,457,080	0.184		1807		
2016-11-18,五	9.19		9.22		9.17		9.20		+0.00%		0.54%		50,326,689	462,714,670	0.170		2029		
2016-11-21,一	9.22		9.29		9.18		9.28		+0.87%		1.20%		55,948,126	517,559,970	0.189		2029		
2016-11-22,二	9.28		9.32		9.28		9.31		+0.32%		0.43%		70,035,985	651,065,980	0.237		2346		
2016-11-23,三	9.32		9.47		9.29		9.37		+0.64%		1.93%		81,035,036	760,934,330	0.274		2220		
2016-11-24,四	9.38		9.40		9.33		9.35		-0.21%		0.75%		67,367,915	631,023,820	0.228		2082		
2016-11-25,五	9.40		9.42		9.29		9.41		+0.64%		1.39%		66,262,639	620,586,020	0.224		2151		
2016-11-28,一	9.41		9.57		9.35		9.40		-0.11%		2.34%		188,418,890	1,775,621,600	0.638		2523		
2016-11-29,二	9.40		9.48		9.37		9.47		+0.74%		1.17%		175,280,440	1,654,117,100	0.593		2535		
2016-11-30,三	9.49		9.52		9.43		9.50		+0.32%		0.95%		111,034,920	1,051,281,860	0.376		2455		
